product_name,subproduct_name,table_name,file_name,headers,description,is_required,sort_order
"STV","Hulu - RON","Monthly Performance","report-hulu-ron-monthly-performance","Date; Impressions; Video Views; Completion Rate; CPM; Spend; Reach; Frequency","",TRUE,0
"STV","Hulu - Audience Targeted","Monthly Performance","report-hulu-audiencetargeted-monthly-performance","Date; Impressions; Video Views; Completion Rate; CPM; Spend; Audience Reach; Premium Content","",TRUE,0
"STV","Run of Network","Monthly Performance","report-runofnetwork-monthly-performance","Date; Impressions; Video Views; Completion Rate; CPM; Spend; Reach; Frequency","",TRUE,0
"STV","Streaming TV OTT","Monthly Performance","report-streamingtvott-monthly-performance","Date; Impressions; Video Views; Completion Rate; CPM; Spend; Reach; Frequency","",TRUE,0
"STV","Channel Targeted OTT","Monthly Performance","report-channeltargetedott-monthly-performance","Date; Impressions; Video Views; Completion Rate; CPM; Spend; Channel; Content Category","",TRUE,0
"STV","Advanced Audience Targeting OTT","Monthly Performance","report-stvott-monthly-performance","Date; Impressions; Video Views; Completion Rate; CPM; Spend; Audience Reach; Frequency","",TRUE,0
"STV","Video","Monthly Performance","report-stv-monthly-performance","Date; Impressions; Video Views; Completion Rate; CPM; Spend; Frequency; Reach","",TRUE,0
"Blended Tactics","Targeted Video","Monthly Performance","report-targetedvideo-monthly-performance","Date; Impressions; Video Views; Completion Rate; CPM; Spend; 25% Completion; 50% Completion; 75% Completion","",TRUE,0
"Email Marketing","1:1 Marketing","Monthly Performance","report-emailmarketing-monthly-performance","Date; Impressions; Clicks; CTR; Spend; CPM; Opens; Open Rate; Deliveries; Bounces","",TRUE,0
"Blended Tactics","Social Display","Monthly Performance","report-socialdisplay-monthly-performance","Date; Impressions; Clicks; CTR; Spend; CPM; Social Interactions; Engagements","",TRUE,0
"Sponsorship","Station App Sponsorship","Monthly Performance","report-sponsorship-stationapp-monthly-performance","Date; Impressions; CPM; Spend; Station; Market; App Downloads; Active Users","",TRUE,0
"Blended Tactics","Targeted Native","Monthly Performance","report-targetednative-monthly-performance","Date; Impressions; Clicks; CTR; Spend; CPM; Engagements; Content Views","",TRUE,0
"Programmatic Audio","Run of Network","Monthly Performance","report-programmaticaudio-ron-monthly-performance","Date; Impressions; CPM; Spend; Audio Completions; Completion Rate; Reach; Frequency","",TRUE,0
"Email Marketing","B2B (Business Targeting)","Monthly Performance","report-emailmarketing-monthly-performance","Date; Impressions; Clicks; CTR; Spend; CPM; Opens; Open Rate; Deliveries; Bounces","",TRUE,0
"Sponsorship","Listen Live Sponsorship","Monthly Performance","report-sponsorship-listenlive-monthly-performance","Date; Impressions; CPM; Spend; Station; Market; Live Listeners; Stream Duration","",TRUE,0
"Sponsorship","Contest Sponsorship","Monthly Performance","report-sponsorship-contest-monthly-performance","Date; Impressions; CPM; Spend; Station; Market; Contest Entries; Participation Rate","",TRUE,0
"Sponsorship","Content Sponsorship","Monthly Performance","report-sponsorship-content-monthly-performance","Date; Impressions; CPM; Spend; Station; Market; Content Type; Engagement","",TRUE,0
"Takeovers","Station Site Takeovers","Monthly Performance","report-takeovers-stationsite-monthly-performance","Date; Impressions; Clicks; CTR; CPM; Spend; Station; Market; Takeover Duration","",TRUE,0
"Addressable Solutions","Addressable Display","Monthly Performance","report-addressabledisplay-monthly-performance","Date; Impressions; Clicks; CTR; Spend; CPM; Conversions; CPA","",TRUE,0
"Programmatic Audio","Advanced Audience Targeting","Monthly Performance","report-programmaticaudio-aat-monthly-performance","Date; Impressions; CPM; Spend; Audio Completions; Completion Rate; Reach; Frequency","",TRUE,0
"CPM Display","Mobile Billboard","Monthly Performance","report-localdisplay-mobilebillboard-monthly-performance","Date; Impressions; Clicks; CTR; CPM; Spend; Station; Market; Mobile Reach","",TRUE,0
"CPM Display","Local Network","Monthly Performance","report-localdisplay-localnetwork-monthly-performance","Date; Impressions; Clicks; CTR; CPM; Spend; Station; Market; Local Reach","",TRUE,0
"CPM Display","Ignite Network","Monthly Performance","report-localdisplay-ignitenetwork-monthly-performance","Date; Impressions; Clicks; CTR; CPM; Spend; Station; Market; Network Reach","",TRUE,0
"CPM Display","Amplifier","Monthly Performance","report-localdisplay-amplifier-monthly-performance","Date; Impressions; Clicks; CTR; CPM; Spend; Station; Market; Content Amplification","",TRUE,0
"CPM Display","Banner Ads","Monthly Performance","report-localdisplay-bannerads-monthly-performance","Date; Impressions; Clicks; CTR; CPM; Spend; Station; Market; Ad Size","",TRUE,0
"SSM","Sponsored Social Mentions - ThruPlay","Monthly Performance","report-ssm-thruplay-monthly-performance","Date; Impressions; Video Views; ThruPlays; CPV; Spend; Station; Market","",TRUE,0
"SSM","Sponsored Social Mentions - Awareness","Monthly Performance","report-ssm-awareness-monthly-performance","Date; Impressions; CPM; Spend; Reach; Frequency; Station; Market","",TRUE,0
"SSM","Sponsored Social Mentions - Link Click","Monthly Performance","report-ssm-linkclick-monthly-performance","Date; Impressions; Clicks; Link Clicks; CTR; CPLC; Spend; Station; Market","",TRUE,0
"Addressable Solutions","Geofencing with Foot Traffic","Monthly Performance","report-geofencing-monthly-performance","Date; Impressions; Clicks; CTR; Spend; CPM; Conversions; Foot Traffic; Visitation Rate","",TRUE,0
"Email Marketing","B2C (Consumer Targeting)","Monthly Performance","report-emailmarketing-monthly-performance","Date; Impressions; Clicks; CTR; Spend; CPM; Opens; Open Rate; Deliveries; Bounces","",TRUE,0
"Ignite Network","Ignite Network - Banner Ads","Monthly Performance","report-ignitenetwork-bannerads-monthly-performance","Date; Impressions; Clicks; CTR; CPM; Spend; Station; Market","",TRUE,0
"YouTube","YouTube Bumper","Monthly Performance","report-youtube-bumper-monthly-performance","Date; Impressions; CPM; Spend; Reach; Frequency; Brand Lift; Ad Recall","",TRUE,0
"YouTube","YouTube True View","Monthly Performance","report-youtube-trueview-monthly-performance","Date; Impressions; Views; View Rate; CPV; Spend; Earned Views; Subscribers; Watch Time","",TRUE,0
"Spark","Spark","Monthly Performance","report-spark-monthly-performance","Date; Impressions; Clicks; CTR; Spend; CPC; Conversions; Quality Score","",TRUE,0
"SEM","Google Search","Monthly Performance","report-googlesearch-monthly-performance","Date; Impressions; Clicks; CTR; Spend; CPC; Conversions; Conv Rate; Form Submissions; Phone Calls","",TRUE,0
"SEM","SEM","Monthly Performance","report-sem-monthly-performance","Date; Impressions; Clicks; CTR; Spend; CPC; Conversions; Conv Rate; Form Submissions; Phone Calls","",TRUE,0
"LinkedIn","LinkedIn - Link Click","Monthly Performance","report-linkedin-linkclick-monthly-performance","Date; Impressions; Clicks; Link Clicks; CTR; CPLC; Spend; Social Actions; Follows","",TRUE,0
"Pinterest","Pintrest - Awareness","Monthly Performance","report-pinterest-awareness-monthly-performance","Date; Impressions; CPM; Spend; Reach; Frequency; Saves; Repins; Brand Awareness","",TRUE,0
"Pinterest","Pintrest - Link Click","Monthly Performance","report-pinterest-linkclick-monthly-performance","Date; Impressions; Clicks; Link Clicks; CTR; CPLC; Spend; Saves; Repins","",TRUE,0
"Twitter","Twitter - Awareness","Monthly Performance","report-twitter-awareness-monthly-performance","Date; Impressions; CPM; Spend; Reach; Frequency; Engagements; Retweets","",TRUE,0
"Addressable Solutions","Addressable STV","Monthly Performance","report-addressablestv-monthly-performance","Date; Impressions; Completion Rate; CPM; Spend; Video Views; 25% Completion; 50% Completion; 75% Completion","",TRUE,0
"Digital Endorsements","Endorsement","Monthly Performance","report-digitalendorsements-endorsement-monthly-performance","Date; Impressions; CPM; Spend; Station; Market; Personality; Endorsement Type","",TRUE,0
"Twitter","Twitter - Link Click","Monthly Performance","report-twitter-linkclick-monthly-performance","Date; Impressions; Clicks; Link Clicks; CTR; CPLC; Spend; Engagements","",TRUE,0
